"Autor","Nome do Módulo","Nome Técnico","Site","Situação","Última Versão"
"Escodoo","Egd Import Vehicle Records","egd_import_vehicle_records","https://github.com/Escodoo/egd-addons","Instalado","16.0.1.0.0"
"Escodoo","Egd Insurance Date Expiry","egd_insurance_date_expiry","https://github.com/Escodoo/egd-addons","Instalado","16.0.1.0.0"
"Escodoo","Egd Ipva Date Expiry","egd_ipva_date_expiry","https://github.com/Escodoo/egd-addons","Instalado","16.0.1.0.0"
"Escodoo","Egd National Registration Expiry","egd_national_registration_expiry","https://github.com/Escodoo/egd-addons","Instalado","16.0.1.0.0"
"Escodoo","EGD Purchase Custom","egd_purchase_custom","https://github.com/Escodoo/egd-addons","Instalado","16.0.1.0.0"
"Escodoo","Egd Purchase Request Custom","egd_purchase_request_custom","https://github.com/Escodoo/egd-addons","Instalado","16.0.1.0.0"
"Escodoo","EGD Sale Blanket Order Custom","egd_sale_blanket_order_custom","https://github.com/Escodoo/egd-addons","Instalado","16.0.1.0.0"
"Escodoo","EGD - Sale Blanket Order Revision","egd_sale_blanket_order_revision","https://github.com/Escodoo/egd-addons","Instalado","16.0.1.0.0"
"Escodoo","Egd Stock Custom","egd_stock_custom","https://github.com/Escodoo/egd-addons","Instalado","16.0.1.0.0"
"Escodoo","Egd Stock Picking Custom","egd_stock_picking_custom","https://github.com/Escodoo/egd-addons","Instalado","16.0.1.0.0"
"Escodoo","EGD Stock Picking Invoicing Custom","egd_stock_picking_invoicing_custom","https://github.com/Escodoo/egd-addons","Instalado","16.0.1.0.0"
"Escodoo","Egd Work Evaluation Mandatory","egd_work_evaluation_mandatory","https://github.com/Escodoo/egd-addons","Instalado","16.0.1.0.0"
"Escodoo","Escodoo Development Mode","escodoo_development_mode","https://github.com/Escodoo/base-addons","Instalado","16.0.1.0.0"
"Escodoo,Odoo Community Association (OCA)","Fleet Vehicle Fuel Type Ethanol","fleet_vehicle_fuel_type_ethanol","https://github.com/OCA/fleet","Instalado","16.0.1.0.0"
"Escodoo,Odoo Community Association (OCA)","Fleet Vehicle Inspection","fleet_vehicle_inspection","https://github.com/OCA/fleet","Instalado","16.0.1.1.0"
"Escodoo, Odoo Community Association (OCA)","Fleet Vehicle Inspection Template","fleet_vehicle_inspection_template","https://github.com/OCA/fleet","Instalado","16.0.2.0.0"
"Dixmit,Odoo Community Association (OCA)","Fleet Vehicle Purchase","fleet_vehicle_purchase","https://github.com/OCA/fleet","Instalado","16.0.1.0.0"
"Escodoo,Odoo Community Association (OCA)","Fleet Vehicle Stock","fleet_vehicle_stock","https://github.com/OCA/fleet","Instalado","16.0.1.1.0"
"CorporateHub, Odoo Community Association (OCA)","HR Contract Document","hr_contract_document","https://github.com/OCA/hr","Instalado","16.0.1.0.0"
"Creu Blanca, Odoo Community Association (OCA)","HR Course","hr_course","https://github.com/OCA/hr","Instalado","16.0.1.1.2"
"Salton Massally <smassally@idtlabs.sl>, Odoo Community Association (OCA)","Employee Age","hr_employee_age","https://github.com/OCA/hr","Instalado","16.0.1.0.1"
"CorporateHub, Odoo Community Association (OCA)","HR Employee Document","hr_employee_document","https://github.com/OCA/hr","Instalado","16.0.1.0.1"
"Creu Blanca, Odoo Community Association (OCA)","Hr Employee Medical Examination","hr_employee_medical_examination","https://github.com/OCA/hr","Instalado","16.0.1.1.0"
"Escodoo, Odoo Community Association (OCA)","Personal Protective Equipment (PPE) Management","hr_employee_ppe","https://github.com/OCA/hr","Instalado","16.0.1.0.0"
"CorporateHub, Odoo Community Association (OCA)","HR Employee Relatives","hr_employee_relative","https://github.com/OCA/hr","Instalado","16.0.1.0.0"
"Ecosoft, Odoo Community Association (OCA)","Employee Advance and Clearing","hr_expense_advance_clearing","https://github.com/OCA/hr-expense","Instalado","16.0.1.0.3"
"Tecnativa, Odoo Community Association (OCA)","Supplier invoices on HR expenses","hr_expense_invoice","https://github.com/OCA/hr-expense","Instalado","16.0.2.0.3"
"Open Source Integrators, Odoo Community Association (OCA)","Select Expense Journal","hr_expense_journal","https://github.com/OCA/hr-expense","Instalado","16.0.1.0.0"
"Odoo Community Association (OCA), PyTech SRL","Remove Odoo mobile app links","hr_expense_remove_mobile_link","https://github.com/OCA/server-brand","Instalado","16.0.1.0.0"
"Ecosoft, Odoo Community Association (OCA)","Expense Tier Validation","hr_expense_tier_validation","https://github.com/OCA/hr-expense","Instalado","16.0.2.0.0"
"Ecosoft, Odoo Community Association (OCA)","Expense Work Acceptance","hr_expense_work_acceptance","https://github.com/OCA/hr-expense","Instalado","16.0.1.0.0"
"Odoo S.A.","Histórico de Frota","hr_fleet","","Instalado","16.0.1.0"
"Odoo S.A.","Salário do Funcionário por Hora ","hr_hourly_cost","","Instalado","16.0.1.0"
"Odoo S.A.","HR Org Chart","hr_org_chart","","Instalado","16.0.1.0"
"Creu Blanca, Odoo Community Association (OCA)","Hr Personal Equipment Request","hr_personal_equipment_request","https://github.com/OCA/hr","Instalado","16.0.1.0.0"
"Creu Blanca,Odoo Community Association (OCA)","Hr Personal Equipment Stock","hr_personal_equipment_stock","https://github.com/OCA/hr","Instalado","16.0.1.0.0"
"Escodoo","Hr Timesheet Analytic Restrictions","hr_timesheet_analytic_restrictions","https://github.com/Escodoo/account-addons","Instalado","16.0.1.0.0"
"Ksolves India Ltd.","Dashboard Ninja","ks_dashboard_ninja","https://store.ksolves.com/","Instalado","16.0.1.8.8"
"Akretion, Odoo Community Association (OCA)","Invoicing and accounting entries for Brazil","l10n_br_account","https://github.com/OCA/l10n-brazil","Instalado","16.0.16.0.3"
"Akretion, Odoo Community Association (OCA)","Brazilian Account Due List","l10n_br_account_due_list","https://github.com/OCA/l10n-brazil","Instalado","16.0.2.1.0"
"Escodoo,Odoo Community Association (OCA)","Brazilian Localization Account Fleet","l10n_br_account_fleet","https://github.com/OCA/l10n-brazil","Instalado","16.0.1.0.0"
"Engenere,Akretion,Odoo Community Association (OCA)","Account NFe/NFC-e Integration","l10n_br_account_nfe","https://github.com/OCA/l10n-brazil","Instalado","16.0.9.0.1"
"KMEE, Akretion, Odoo Community Association (OCA)","Brazilian Payment Order","l10n_br_account_payment_order","https://github.com/OCA/l10n-brazil","Instalado","16.0.9.1.1"
"Akretion,Odoo Community Association (OCA)","Brazilian Localization Base","l10n_br_base","https://github.com/OCA/l10n-brazil","Instalado","16.0.6.5.3"
"Engenere, Escodoo, Odoo Community Association (OCA)","CNAB Structure","l10n_br_cnab_structure","https://github.com/OCA/l10n-brazil","Instalado","16.0.3.2.1"
"KMEE,Odoo Community Association (OCA)","Brazilian Localization CNPJ Search","l10n_br_cnpj_search","https://github.com/OCA/l10n-brazil","Instalado","16.0.3.3.3"
"Akretion, KMEE, Odoo Community Association (OCA)","Base dos Planos de Contas","l10n_br_coa","https://github.com/OCA/l10n-brazil","Instalado","16.0.2.7.0"
"KMEE, Odoo Community Association (OCA)","Plano de Contas para empresas do Regime normal","l10n_br_coa_generic","https://github.com/OCA/l10n-brazil","Instalado","16.0.2.2.1"
"KMEE,Odoo Community Association (OCA)","Brazilian Localization Contract","l10n_br_contract","https://github.com/OCA/l10n-brazil","Instalado","16.0.7.0.3"
"Akretion, Odoo Community Association (OCA)","Currency Rate Update BR","l10n_br_currency_rate_update","https://github.com/OCA/l10n-brazil","Instalado","16.0.1.1.2"
"Akretion, Odoo Community Association (OCA)","delivery module Brazilian Localization","l10n_br_delivery","https://github.com/OCA/l10n-brazil","Instalado","16.0.4.0.0"
"Akretion, KMEE, Odoo Community Association (OCA)","Brazilian Localization Delivery NFe","l10n_br_delivery_nfe","https://github.com/OCA/l10n-brazil","Instalado","16.0.2.0.0"
"Escodoo","L10n Br Escodoo Development Mode","l10n_br_escodoo_development_mode","https://github.com/Escodoo/base-addons","Instalado","16.0.1.0.0"
"Akretion, Odoo Community Association (OCA)","A1 fiscal certificate management for Brazil","l10n_br_fiscal_certificate","https://github.com/OCA/l10n-brazil","Instalado","16.0.1.2.1"
"KMEE,Odoo Community Association (OCA)","L10n BR Fiscal Dfe","l10n_br_fiscal_dfe","https://github.com/OCA/l10n-brazil","Instalado","16.0.1.3.0"
"Escodoo","L10n Br Fiscal Document Cancel Group","l10n_br_fiscal_document_cancel_group","https://github.com/Escodoo/account-addons","Instalado","16.0.1.0.0"
"Akretion, KMEE, Odoo Community Association (OCA)","Common EDI fiscal features","l10n_br_fiscal_edi","https://github.com/OCA/l10n-brazil","Instalado","16.0.1.9.1"
"KMEE, Odoo Community Association (OCA)","Brazilian Localization HR","l10n_br_hr","https://github.com/OCA/l10n-brazil","Instalado","16.0.4.4.0"
"Escodoo,Odoo Community Association (OCA)","Brazilian Localization Expense Invoice","l10n_br_hr_expense_invoice","https://github.com/OCA/l10n-brazil","Instalado","16.0.1.0.1"
"KMEE,Odoo Community Association (OCA)","Brazilian Localization IE Search","l10n_br_ie_search","https://github.com/OCA/l10n-brazil","Instalado","16.0.2.2.0"
"Escodoo","Brazilian Localization MIS Builder Cash Flow Forecast Sale","l10n_br_mis_builder_cash_flow_sale","https://github.com/Escodoo/account-addons","Instalado","16.0.1.0.0"
"KMEE,Odoo Community Association (OCA)","Relatórios contábeis brasileiros: Balanço Patrimonial e DRE","l10n_br_mis_report","https://github.com/OCA/l10n-brazil","Instalado","16.0.1.0.0"
"Akretion,KMEE,Odoo Community Association (OCA)","NF-e","l10n_br_nfe","https://github.com/OCA/l10n-brazil","Instalado","16.0.13.0.3"
"Akretion, Odoo Community Association (OCA)","nfe spec","l10n_br_nfe_spec","https://github.com/OCA/l10n-brazil","Instalado","16.0.4.0.1"
"KMEE, Odoo Community Association (OCA)","NFS-e","l10n_br_nfse","https://github.com/OCA/l10n-brazil","Instalado","16.0.7.2.1"
"KMEE, Escodoo, Odoo Community Association (OCA)","NFS-e (FocusNFE)","l10n_br_nfse_focus","https://github.com/OCA/l10n-brazil","Instalado","16.0.2.4.1"
"KMEE,Odoo Community Association (OCA)","L10n Br Portal","l10n_br_portal","https://github.com/OCA/l10n-brazil","Instalado","16.0.2.1.2"
"Akretion, Odoo Community Association (OCA)","Brazilian Localization Purchase","l10n_br_purchase","https://github.com/OCA/l10n-brazil","Instalado","16.0.6.0.5"
"Escodoo,Odoo Community Association (OCA)","L10n Br Purchase Request","l10n_br_purchase_request","https://github.com/OCA/l10n-brazil","Instalado","16.0.2.0.0"
"Escodoo,Odoo Community Association (OCA)","Brazilian Localization Purchase Requisition","l10n_br_purchase_requisition","https://github.com/OCA/l10n-brazil","Instalado","16.0.1.0.0"
"Akretion, Odoo Community Association (OCA)","Brazilian Localization Purchase Stock","l10n_br_purchase_stock","https://github.com/OCA/l10n-brazil","Instalado","16.0.2.0.1"
"KMEE,Odoo Community Association (OCA)","L10n Br Resource","l10n_br_resource","https://github.com/OCA/l10n-brazil","Instalado","16.0.1.1.0"
"Akretion, Odoo Community Association (OCA)","Brazilian Localization Sale","l10n_br_sale","https://github.com/OCA/l10n-brazil","Instalado","16.0.8.1.3"
"Escodoo,Odoo Community Association (OCA)","Brazilian Localization Sale Blanket Order","l10n_br_sale_blanket_order","https://github.com/OCA/l10n-brazil","Instalado","16.0.2.4.0"
"Akretion, Odoo Community Association (OCA)","Brazilian Localization Sales and Warehouse","l10n_br_sale_stock","https://github.com/OCA/l10n-brazil","Instalado","16.0.3.0.2"
"KMEE, Odoo Community Association (OCA)","Brazilian Localization Warehouse","l10n_br_stock","https://github.com/OCA/l10n-brazil","Instalado","16.0.3.0.1"
"Akretion, Odoo Community Association (OCA)","Brazilian Localization WMS Accounting","l10n_br_stock_account","https://github.com/OCA/l10n-brazil","Instalado","16.0.4.1.2"
"Akretion, Odoo Community Association (OCA)","P7 Stock Valuation Report","l10n_br_stock_account_report","https://github.com/OCA/l10n-brazil","Instalado","16.0.2.1.0"
"Engenere, Escodoo, Odoo Community Association (OCA)","Import Declaration Management","l10n_br_trade_import","https://github.com/Escodoo/account-addons","Instalado","16.0.1.0.0"
"Akretion, Odoo Community Association (OCA)","Brazilian Localisation ZIP Codes","l10n_br_zip","https://github.com/OCA/l10n-brazil","Instalado","16.0.2.7.0"
"Odoo S.A.","OdooBot","mail_bot","https://www.odoo.com/app/discuss","Instalado","16.0.1.2"
"Odoo S.A.","mail_bot_hr","mail_bot_hr","https://www.odoo.com/app/discuss","Instalado","16.0.1.0"
"Therp BV,Creu Blanca,Odoo Community Association (OCA)","Restrict follower selection","mail_restrict_follower_selection","https://github.com/OCA/social","Instalado","16.0.1.0.0"
"Tecnativa, Odoo Community Association (OCA)","MIS Builder Analytic","mis_builder_analytic","https://github.com/OCA/mis-builder-contrib","Instalado","16.0.1.1.0"
"ACSONE SA/NV, Odoo Community Association (OCA)","MIS Builder Budget","mis_builder_budget","https://github.com/OCA/mis-builder","Instalado","16.0.5.4.0"
"ADHOC SA, Odoo Community Association (OCA)","MIS Builder Cash Flow","mis_builder_cash_flow","https://github.com/OCA/account-financial-reporting","Instalado","16.0.1.1.0"
"Escodoo","Mis Builder Cash Flow By Month","mis_builder_cash_flow_by_month","https://github.com/Escodoo/account-addons","Instalado","16.0.1.0.0"
"Escodoo","Mis Builder Cash Flow Forecast Contract","mis_builder_cash_flow_forecast_contract","https://github.com/Escodoo/account-addons","Instalado","16.0.1.0.0"
"Escodoo","Mis Builder Cash Flow Forecast Integration","mis_builder_cash_flow_forecast_integration","https://github.com/Escodoo/account-addons","Instalado","16.0.1.0.0"
"Escodoo","Mis Builder Cash Flow Forecast Purchase","mis_builder_cash_flow_forecast_purchase","https://github.com/Escodoo/account-addons","Instalado","16.0.1.0.0"
"Escodoo","Mis Builder Cash Flow Forecast Sale","mis_builder_cash_flow_forecast_sale","https://github.com/Escodoo/account-addons","Instalado","16.0.1.0.0"
"Odoo S.A.","Accounting - MRP","mrp_account","https://www.odoo.com/app/manufacturing","Instalado","16.0.1.0"
"Odoo S.A.","Manufacturing Expiry","mrp_product_expiry","","Instalado","16.0.1.0"
"Odoo S.A.","Intermediário de Pagamento","payment","","Instalado","16.0.2.0"
"Odoo S.A.","Avaliação do Portal","portal_rating","","Instalado","16.0.1.0"
"ForgeFlow, BCIM, Odoo Community Association (OCA)","Procurement Auto Create Group","procurement_auto_create_group","https://github.com/OCA/stock-logistics-warehouse","Instalado","16.0.1.1.0"
"Odoo S.A.","Produtos & Listas de Preços","product","","Instalado","16.0.1.2"
"NetAndCo, Akretion, Prisnet Telecommunications SA, MONK Software, SerpentCS Pvt. Ltd., Tecnativa, Kaushal Prajapati, Odoo Community Association (OCA)","Product Brand Manager","product_brand","https://github.com/OCA/brand","Instalado","16.0.1.0.4"
"Open Source Integrators, Odoo Community Association (OCA)","Unique Product Internal Reference","product_code_unique","https://github.com/OCA/product-attribute","Instalado","16.0.1.0.1"
"Odoo S.A.","Products Expiration Date","product_expiry","","Instalado","16.0.1.0"
"GRAP,Odoo Community Association (OCA)","Products - Net Weight","product_net_weight","https://github.com/OCA/product-attribute","Instalado","16.0.1.0.1"
"Zikzakmedia SL, Sodexis, Odoo Community Association (OCA)","Product Sequence","product_sequence","https://github.com/OCA/product-attribute","Instalado","16.0.2.0.1"
"Modoolar, Odoo Community Association (OCA)","Project key","project_key","https://github.com/OCA/project","Instalado","16.0.2.0.1"
"ForgeFlow, Odoo Community Association (OCA)","Purchase Blanket Orders","purchase_blanket_order","https://github.com/OCA/purchase-workflow","Instalado","16.0.2.1.3"
"Escodoo,Odoo Community Association (OCA)","Purchase Default Terms Conditions","purchase_default_terms_conditions","https://github.com/OCA/purchase-workflow","Instalado","16.0.1.0.3"
"Escodoo,Odoo Community Association (OCA)","Purchase Invoice Status Partial","purchase_invoice_partial_status","https://github.com/OCA/purchase-workflow","Instalado","16.0.1.0.0"
"Odoo S.A.","Purchase and MRP Management","purchase_mrp","","Instalado","16.0.1.0"
"Open Source Integrators, Odoo Community Association (OCA)","Purchase Order Line Menu","purchase_order_line_menu","https://github.com/OCA/purchase-workflow","Instalado","16.0.2.1.2"
"Escodoo","Purchase Quotation Report Tax Removal","purchase_quotation_report_tax_removal","https://github.com/Escodoo/purchase-addons","Instalado","16.0.1.0.0"
"Odoo S.A.","Acordos de Compra","purchase_requisition","","Instalado","16.0.0.1"
"ForgeFlow, Odoo Community Association (OCA)","Purchase Stock Tier Validation","purchase_stock_tier_validation","https://github.com/OCA/purchase-workflow","Instalado","16.0.1.0.0"
"ForgeFlow, Odoo Community Association (OCA)","Purchase Tier Validation","purchase_tier_validation","https://github.com/OCA/purchase-workflow","Instalado","16.0.1.1.1"
"Ecosoft, Odoo Community Association (OCA)","Purchase Work Acceptance","purchase_work_acceptance","https://github.com/OCA/purchase-workflow","Instalado","16.0.1.0.0"
"Ecosoft, Odoo Community Association (OCA)","Purchase Work Acceptance Evaluation","purchase_work_acceptance_evaluation","https://github.com/OCA/purchase-workflow","Instalado","16.0.1.0.0"
"OdooMRP team, AvanzOSC, Serv. Tecnol. Avanzados - Pedro M. Baeza, Agile Business Group, Odoo Community Association (OCA)","MRP extension for quality control (OCA)","quality_control_mrp_oca","https://github.com/OCA/manufacture","Instalado","16.0.1.2.0"
"AvanzOSC, Tecnativa, Odoo Community Association (OCA)","Quality Control OCA","quality_control_oca","https://github.com/OCA/manufacture","Instalado","16.0.1.8.0"
"OdooMRP team, AvanzOSC, Serv. Tecnol. Avanzados - Pedro M. Baeza, Agile Business Group, Odoo Community Association (OCA)","Quality control - Stock (OCA)","quality_control_stock_oca","https://github.com/OCA/manufacture","Instalado","16.0.1.4.0"
"Camptocamp,ACSONE SA/NV,Odoo Community Association (OCA)","Job Queue","queue_job","https://github.com/OCA/queue","Instalado","16.0.3.0.1"
"Odoo S.A.","Avaliação do Cliente","rating","","Instalado","16.0.1.1"
"Eska, Onestein, Odoo Community Association (OCA)","Remove Odoo Enterprise","remove_odoo_enterprise","https://github.com/OCA/server-brand","Instalado","16.0.2.0.4"
"Avoin.Systems, Eficent, Odoo Community Association (OCA)","Report Wkhtmltopdf Param","report_wkhtmltopdf_param","https://github.com/OCA/reporting-engine","Instalado","16.0.1.0.0"
"ACSONE SA/NV,Creu Blanca,Odoo Community Association (OCA)","Base report xlsx","report_xlsx","https://github.com/OCA/reporting-engine","Instalado","16.0.2.0.2"
"Odoo S.A.","Recurso","resource","","Instalado","16.0.1.1"
"Odoo S.A.","Vendas","sale","","Instalado","16.0.1.2"
"Escodoo","Sale Analytic Restrictions","sale_analytic_restrictions","https://github.com/Escodoo/account-addons","Instalado","16.0.1.0.0"
"Acsone SA/NV, Odoo Community Association (OCA)","Sale Blanket Orders","sale_blanket_order","https://github.com/OCA/sale-workflow","Instalado","16.0.2.3.1"
"Odoo S.A.","Despesas de Vendas","sale_expense","","Instalado","16.0.1.0"
"Odoo S.A.","Sales and MRP Management","sale_mrp","","Instalado","16.0.1.0"
"Odoo S.A.","Vendas - Projeto","sale_project","","Instalado","16.0.1.0"
"Odoo S.A.","Venda Compra","sale_purchase","https://www.odoo.com/","Instalado","16.0.1.0"
"Odoo S.A.","PSE Venda <-> Compra","sale_purchase_stock","","Instalado","16.0.1.0"
"Odoo S.A.","Gestão de Vendas e Armazéns","sale_stock","","Instalado","16.0.1.0"
"Akretion, Odoo Community Association (OCA)","Sales Stock Picking Invocing","sale_stock_picking_invoicing","https://github.com/OCA/account-invoicing","Instalado","16.0.1.0.1"
"Odoo S.A.","Registo de Horas das Vendas","sale_timesheet","","Instalado","16.0.1.0"
"Odoo S.A.","Equipas de Vendas","sales_team","https://www.odoo.com/app/crm","Instalado","16.0.1.1"
"Serpent Consulting Services Pvt. Ltd., Tecnativa, GRAP, Iván Todorovich, Odoo Community Association (OCA)","Mass Editing","server_action_mass_edit","https://github.com/OCA/server-ux","Instalado","16.0.2.1.1"
"Akretion, Odoo Community Association (OCA)","Spec Driven Model","spec_driven_model","https://github.com/OCA/l10n-brazil","Instalado","16.0.3.1.2"
"Odoo S.A.","Planilha","spreadsheet","","Instalado","16.0.1.0"
"Odoo S.A.","Dashboard da Planilha","spreadsheet_dashboard","","Instalado","16.0.1.0"
"GRAP,Akretion,Odoo Community Association (OCA)","SQL Request Abstract","sql_request_abstract","https://github.com/OCA/reporting-engine","Instalado","16.0.1.0.0"
